name,label,n,q,mm,gamma1,sigma_min,sigma_max,Method,Draw,mse_loss_shannon,time
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.1,3.736664807050232,33.3179999999993
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.2,4.774974277845133,31.593000000000757
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.3,3.505085777603143,32.16599999999744
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.4,3.1204984679876753,31.390000000003056
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.5,4.036494359764842,33.33499999999913
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.6,3.1131672940868453,34.05199999999968
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.7,4.30033183559811,33.15399999999863
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.8,3.572597724600029,31.329000000001543
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.9,3.7265609339833325,31.937999999998283
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.10,4.3696735650586005,32.04100000000108
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.11,3.55385313470496,32.77400000000125
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.12,3.7898015725073977,32.18799999999828
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.13,3.186406348005325,32.1140000000014
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.14,3.5863750051427945,31.57300000000032
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.15,4.252571275986135,33.005999999997584
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.16,4.0461216517764464,32.733000000000175
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.17,3.9148024697883894,32.1720000000023
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.18,2.6859604446950915,32.41100000000006
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.19,3.590745054476292,32.44599999999991
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.20,3.433687295602219,29.733000000000175
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.21,4.5273095022769345,31.680999999996857
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.22,4.209327577940151,28.614000000001397
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.23,3.162671386256398,28.77799999999843
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.24,3.0659106038123967,28.454000000001543
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.25,3.951501154949782,28.42399999999907
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.26,3.8525545399861154,28.712999999999738
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.27,3.7718275080552948,29.01800000000003
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.28,3.7595216696491924,29.038000000000466
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.29,4.056489224892235,28.989000000001397
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.30,3.6755836922160197,30.161000000000058
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.31,4.212879413474855,29.352999999999156
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.32,3.3604547572656727,30.35699999999997
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.33,4.323419329010846,29.820999999999913
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.34,3.627874432555044,29.23400000000038
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.35,3.6949810985163714,29.264999999999418
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.36,3.2720360938403017,31.07800000000134
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.37,3.3683393316915757,30.79399999999805
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.38,4.899838868117799,28.829000000001543
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.39,3.7990366406954044,29.453999999997905
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.40,4.085695486694459,29.59700000000157
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.41,2.8062704215924974,30.13300000000163
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.42,3.802608685054364,29.54399999999805
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.43,2.85099241998591,30.760999999998603
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.44,3.732664880775996,30.71600000000035
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.45,3.325308802829854,30.033000000003085
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.46,3.111946790481969,29.857999999996537
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.47,4.1560873449616365,29.927000000003318
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.48,3.4673422205566466,29.865999999998166
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.49,3.332667224085623,29.959999999999127
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.50,4.043615902041833,29.671000000002095
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.51,3.687512488872922,29.511999999998807
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.52,3.269616451267405,30.3650000000016
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.53,3.3107792879389994,32.29999999999927
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.54,3.36727440992787,33.25799999999799
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.55,3.4944908424126573,32.54500000000189
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.56,3.1023785255303755,32.623999999999796
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.57,4.05820634856754,31.508999999998196
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.58,4.175168089544081,31.980999999999767
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.59,3.7097076083850373,31.92000000000189
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.60,4.087830575104711,32.572000000000116
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.61,3.9110014852735575,33.79000000000087
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.62,3.1782367024720872,33.94999999999709
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.63,3.9087606089969933,33.44300000000294
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.64,3.182127627666943,32.810999999997875
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.65,3.365618219690818,34.14400000000023
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.66,4.232567156074569,33.80500000000029
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.67,3.6544489251228454,32.565999999998894
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.68,4.0695566265232666,32.1820000000007
nonlinear-aitchison-2/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear Model 2(n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.69,4.577269917777266,32.211999999999534
